m, c, val,
406, 28647.9, 8.43476e-05,
406, 29443.7, 8.90759e-05,
406, 30239.4, 9.39285e-05,
406, 31035.2, 9.87311e-05,
406, 31831, 0.000103811,
406, 32626.8, 0.000108976,
406, 33422.5, 0.000114296,
406, 34218.3, 0.000119737,
406, 35014.1, 0.000125298,
406, 35809.9, 0.000130979,
406, 36605.6, 0.000136778,
406, 37401.4, 0.000142521,
406, 38197.2, 0.000148535,
406, 38993, 0.000154664,
406, 39788.7, 0.000160909,
406, 40584.5, 0.000167301,
406, 41380.3, 0.00017377,
406, 42176.1, 0.000180352,
406, 42971.8, 0.000187046,
406, 43767.6, 0.000193681,
406, 44563.4, 0.000200576,
406, 45359.2, 0.000207582,
406, 46154.9, 0.000214727,
406, 46950.7, 0.000221942,
406, 47746.5, 0.000229265,
406, 48542.3, 0.000236696,
406, 49338, 0.000244261,
406, 50133.8, 0.000251719,
406, 50929.6, 0.000259435,
406, 51725.4, 0.000267289,
406, 52521.1, 0.0002752,
406, 53316.9, 0.000283215,
406, 54112.7, 0.000291362,
406, 54908.5, 0.000299567,
406, 55704.2, 0.000307707,
406, 56500, 0.000316114,
406, 57295.8, 0.000324583,
406, 58091.6, 0.000333178,
406, 58887.3, 0.000341828,
406, 59683.1, 0.000350604,
406, 60478.9, 0.000359433,
406, 61274.7, 0.000368218,
406, 62070.4, 0.000377197,
406, 62866.2, 0.000386296,
406, 63662, 0.000395448,
406, 64457.8, 0.000404711,
406, 65253.5, 0.000414061,
406, 66049.3, 0.000423299,
406, 66845.1, 0.000432781,
406, 67640.9, 0.000442346,
406, 68436.6, 0.000451949,
406, 69232.4, 0.000461662,
406, 70028.2, 0.000471453,
406, 70823.9, 0.000481128,
406, 71619.7, 0.000491035,
406, 72415.5, 0.000501015,
406, 73211.3, 0.000511067,
406, 74007, 0.00052119,
406, 74802.8, 0.000531345,
406, 75598.6, 0.000541427,
406, 76394.4, 0.000551719,
406, 77190.1, 0.000562076,
406, 77985.9, 0.000572497,
406, 78781.7, 0.000582981,
406, 79577.5, 0.000593358,
408, 795.775, 1.97228e-07,
408, 1591.55, 4.11716e-07,
408, 2387.32, 7.7142e-07,
408, 3183.1, 1.30356e-06,
408, 3978.87, 1.94149e-06,
408, 4774.65, 2.55412e-06,
408, 5570.42, 3.4928e-06,
408, 6366.2, 4.54197e-06,
408, 7161.97, 5.76655e-06,
408, 7957.75, 7.09648e-06,
408, 8753.52, 8.60528e-06,
408, 9549.3, 1.02166e-05,
408, 10345.1, 1.20079e-05,
408, 11140.8, 1.39012e-05,
408, 11936.6, 1.59734e-05,
408, 12732.4, 1.81493e-05,
408, 13528.2, 2.05008e-05,
408, 14323.9, 2.27951e-05,
408, 15119.7, 2.54143e-05,
408, 15915.5, 2.81792e-05,
408, 16711.3, 3.1041e-05,
408, 17507, 3.4081e-05,
408, 18302.8, 3.72277e-05,
408, 19098.6, 4.05412e-05,
408, 19894.4, 4.39966e-05,
408, 20690.1, 4.7593e-05,
408, 21485.9, 5.12854e-05,
408, 22281.7, 5.51511e-05,
408, 23077.5, 5.91555e-05,
408, 23873.2, 6.32976e-05,
408, 24669, 6.75345e-05,
408, 25464.8, 7.1942e-05,
408, 26260.6, 7.64849e-05,
408, 27056.3, 8.10039e-05,
408, 27852.1, 8.5807e-05,
408, 28647.9, 9.07058e-05,
408, 29443.7, 9.57694e-05,
408, 30239.4, 0.000100965,
408, 31035.2, 0.000106291,
408, 31831, 0.000111746,
408, 32626.8, 0.000117331,
408, 33422.5, 0.000123044,
408, 34218.3, 0.000128884,
408, 35014.1, 0.00013485,
408, 35809.9, 0.000140942,
408, 36605.6, 0.000147159,
408, 37401.4, 0.0001535,
408, 38197.2, 0.000159963,
408, 38993, 0.00016655,
408, 39788.7, 0.000173258,
408, 40584.5, 0.00018012,
408, 41380.3, 0.000187064,
408, 42176.1, 0.000194126,
408, 42971.8, 0.000201144,
408, 43767.6, 0.000208434,
408, 44563.4, 0.00021584,
408, 45359.2, 0.000223394,
408, 46154.9, 0.000231022,
408, 46950.7, 0.000238765,
408, 47746.5, 0.000246622,
408, 48542.3, 0.00025462,
408, 49338, 0.00026269,
408, 50133.8, 0.000270872,
408, 50929.6, 0.000279193,
408, 51725.4, 0.000287583,
408, 52521.1, 0.000296082,
408, 53316.9, 0.000304711,
408, 54112.7, 0.000313413,
408, 54908.5, 0.000322247,
408, 55704.2, 0.000330991,
408, 56500, 0.000340014,
408, 57295.8, 0.000349096,
408, 58091.6, 0.000358312,
408, 58887.3, 0.000367584,
408, 59683.1, 0.000376985,
408, 60478.9, 0.000386444,
408, 61274.7, 0.000396025,
408, 62070.4, 0.000405702,
408, 62866.2, 0.000415424,
408, 63662, 0.000425272,
408, 64457.8, 0.000435173,
408, 65253.5, 0.000445187,
408, 66049.3, 0.000455125,
408, 66845.1, 0.000465296,
408, 67640.9, 0.000475505,
408, 68436.6, 0.00048583,
408, 69232.4, 0.000496235,
408, 70028.2, 0.000506717,
408, 70823.9, 0.000517237,
408, 71619.7, 0.000527864,
408, 72415.5, 0.000538565,
408, 73211.3, 0.000549338,
408, 74007, 0.000560012,
408, 74802.8, 0.000570907,
408, 75598.6, 0.000581868,
408, 76394.4, 0.000592896,
408, 77190.1, 0.000603988,
408, 77985.9, 0.000615108,
408, 78781.7, 0.000626326,
408, 79577.5, 0.000637449,
410, 795.775, 1.90348e-07,
410, 1591.55, 4.07338e-07,
410, 2387.32, 7.79048e-07,
410, 3183.1, 1.33327e-06,
410, 3978.87, 2.00261e-06,
410, 4774.65, 2.82848e-06,
410, 5570.42, 3.83161e-06,
410, 6366.2, 4.95701e-06,
410, 7161.97, 6.26548e-06,
410, 7957.75, 7.69132e-06,
410, 8753.52, 9.30366e-06,
410, 9549.3, 1.10309e-05,
410, 10345.1, 1.29456e-05,
410, 11140.8, 1.49751e-05,
410, 11936.6, 1.71907e-05,
410, 12732.4, 1.95234e-05,
410, 13528.2, 2.20386e-05,
410, 14323.9, 2.46754e-05,
410, 15119.7, 2.74886e-05,
410, 15915.5, 3.04572e-05,
410, 16711.3, 3.35403e-05,
410, 17507, 3.68042e-05,
410, 18302.8, 4.02212e-05,
410, 19098.6, 4.3751e-05,
410, 19894.4, 4.74606e-05,
410, 20690.1, 5.1321e-05,
410, 21485.9, 5.53313e-05,
410, 22281.7, 5.94483e-05,
410, 23077.5, 6.37471e-05,
410, 23873.2, 6.81936e-05,
410, 24669, 7.27868e-05,
410, 25464.8, 7.74906e-05,
410, 26260.6, 8.23684e-05,
410, 27056.3, 8.73906e-05,
410, 27852.1, 9.25565e-05,
410, 28647.9, 9.78649e-05,
410, 29443.7, 0.000103315,
410, 30239.4, 0.000108906,
410, 31035.2, 0.000114637,
410, 31831, 0.000120506,
410, 32626.8, 0.000126514,
410, 33422.5, 0.000132659,
410, 34218.3, 0.00013894,
410, 35014.1, 0.000145357,
410, 35809.9, 0.000151908,
410, 36605.6, 0.000158593,
410, 37401.4, 0.000165411,
410, 38197.2, 0.000172361,
410, 38993, 0.000179442,
410, 39788.7, 0.000186654,
410, 40584.5, 0.00019403,
410, 41380.3, 0.000201494,
410, 42176.1, 0.000209086,
410, 42971.8, 0.000216804,
410, 43767.6, 0.000224649,
410, 44563.4, 0.000232801,
410, 45359.2, 0.000240883,
410, 46154.9, 0.00024909,
410, 46950.7, 0.000257453,
410, 47746.5, 0.000265893,
410, 48542.3, 0.000274454,
410, 49338, 0.000283169,
410, 50133.8, 0.000291956,
410, 50929.6, 0.000300863,
410, 51725.4, 0.000309914,
410, 52521.1, 0.000319041,
410, 53316.9, 0.000328315,
410, 54112.7, 0.000337658,
410, 54908.5, 0.000347147,
410, 55704.2, 0.000356703,
410, 56500, 0.000366401,
410, 57295.8, 0.000376164,
410, 58091.6, 0.000386064,
410, 58887.3, 0.000396031,
410, 59683.1, 0.000406127,
410, 60478.9, 0.000416325,
410, 61274.7, 0.00042658,
410, 62070.4, 0.000436965,
410, 62866.2, 0.000447446,
410, 63662, 0.00045798,
410, 64457.8, 0.000468637,
410, 65253.5, 0.000479386,
410, 66049.3, 0.000490224,
410, 66845.1, 0.000501108,
410, 67640.9, 0.000512111,
410, 68436.6, 0.000523198,
410, 69232.4, 0.000534209,
410, 70028.2, 0.000545453,
410, 70823.9, 0.000556776,
410, 71619.7, 0.000568136,
410, 72415.5, 0.000579607,
410, 73211.3, 0.000591152,
410, 74007, 0.00060277,
410, 74802.8, 0.000614458,
410, 75598.6, 0.000626216,
410, 76394.4, 0.000638041,
410, 77190.1, 0.000649933,
410, 77985.9, 0.00066189,
410, 78781.7, 0.000673912,
410, 79577.5, 0.000685995,
412, 795.775, 1.84532e-07,
412, 1591.55, 4.08013e-07,
412, 2387.32, 7.98648e-07,
412, 3183.1, 1.3847e-06,
412, 3978.87, 2.09822e-06,
412, 4774.65, 2.98105e-06,
412, 5570.42, 4.05432e-06,
412, 6366.2, 5.26253e-06,
412, 7161.97, 6.82261e-06,
412, 7957.75, 8.34791e-06,
412, 8753.52, 1.00699e-05,
412, 9549.3, 1.19225e-05,
412, 10345.1, 1.39727e-05,
412, 11140.8, 1.61539e-05,
412, 11936.6, 1.85309e-05,
